angle_error_deg,test_angle,physics_range,physics_diff,predicted_range,predicted_diff
-2.0,43.0,65080.63120961136,-158.92026847222587,65476.81304070397,-345.8880425962125
-1.8,43.2,65110.816125799574,-128.73535228401306,65436.198518611425,-386.50256468875887
-1.6,43.4,65137.82763266747,-101.72384541611973,65287.63846277591,-535.0626205242734
-1.4,43.6,65161.664413712315,-77.88706437127257,65332.08584234056,-490.6152409596252
-1.2,43.8,65182.325307163024,-57.22617092056316,65332.08584234056,-490.6152409596252
-1.0,44.0,65199.80930603683,-39.74217204676097,65419.13011609321,-403.57096720697155
-0.7999999999999998,44.2,65214.11555818825,-25.435919895338884,65419.13011609321,-403.57096720697155
-0.5999999999999999,44.4,65225.243366350776,-14.308111732811085,65403.694203998566,-419.006879301618
-0.3999999999999999,44.6,65233.19218817071,-6.359289912878012,65606.19949422409,-216.50158907609875
-0.19999999999999996,44.8,65237.9616362337,-1.589841849890945,65731.41130125479,-91.28978204539453
0.0,45.0,65239.55147808359,0.0,65822.70108330017,-1.4551915228366852e-11
0.20000000000000018,45.2,65237.9616362337,-1.589841849890945,65849.15859522313,26.457511922941194
0.40000000000000036,45.4,65233.19218817071,-6.359289912878012,65897.15339551448,74.45231221430004
0.6000000000000001,45.6,65225.243366350776,-14.308111732811085,65903.62739294539,80.92630964520504
0.8000000000000003,45.8,65214.11555818825,-25.435919895338884,65903.62739294539,80.92630964520504
1.0,46.0,65199.80930603683,-39.74217204676097,65949.23960978765,126.53852648746397
1.2000000000000002,46.2,65182.325307163024,-57.22617092056316,66165.06255139536,342.3614680951723
1.4000000000000004,46.4,65161.664413712315,-77.88706437127257,66207.13935866236,384.4382753621758
1.6,46.6,65137.82763266747,-101.72384541611973,66211.03302821604,388.3319449158589
1.8000000000000003,46.8,65110.816125799574,-128.73535228401306,66215.61384057257,392.912757272381
2.0,47.0,65080.63120961136,-158.92026847222587,66254.88061165309,432.17952835290635
